20220119	600225  601798    2432  300412  300612
20220118	600698    2725
20220117	2725
20220114	603335
20220113	523
20220112	
20220111	2321
20220110	2321  300428
20220107	533  300428  300591
20220106	533  300428
20220105	600854  300428
20220104	
20211231	
20211230	628
20211229	600071
20211228	600071
20211227	600071
20211224	600860
20211223	
20211222	300610
20211221	600215    2607  300610
20211220	600215  600843    2418  300610
20211217	600522  600843  603626  300619
20211216	603626    2731    2765  300619
20211215	603626  300619
20211214	600595  603665  300619
20211213	600595  300619
20211210	
20211209	
20211208	
20211207	
20211206	
20211203	600071  600695
20211202	600071  600695
20211201	600071  600695
20211130	600695
20211129	
20211126	300672
20211125	600241
20211124	
20211123	
20211122	300052
20211119	300052
20211118	300052
20211117	300052
20211116	
20211115	9  2886
20211112	
20211111	
20211110	
20211109	
20211108	
20211105	600331
20211104	600331  603033
20211103	
20211102	2529  300437
20211101	
20211029	600595
20211028	
20211027	600753
20211026	792
20211025	600995
20211022	600995
20211021	
20211020	
20211019	
20211018	
20211015	
20211014	
20211013	600071
20211012	
20211011	
20211008	
20210930	
20210929	
20210928	601678     792
20210927	792  300619
20210924	600067    2326  300157  300619
20210923	2326
20210922	600291  601969    2326  300501
20210917	600291  300501
20210916	
20210915	
20210914	600593
20210913	
20210910	
20210909	
20210908	
20210907	
20210906	
20210903	2256
20210902	2256  300077
20210901	2256  300077
20210831	
20210830	
20210827	792  848
20210826	792  848
20210825	792
20210824	600767
20210823	600767
20210820	
20210819	300362
20210818	2192
20210817	300656
20210816	
20210813	300362
20210812	
20210811	
20210810	
20210809	
20210806	600771
20210805	
20210804	
20210803	
20210802	300339
20210730	300339
20210729	300339  300587
20210728	2091  300339  300663
20210727	603822  300339
20210726	300390
20210723	300061
20210722	
20210721	
20210720	600375
20210719	
20210716	
20210715	
20210714	
20210713	
20210712	603098
20210709	603098
20210708	603098
20210707	
20210706	300312
20210705	300064  300202  300312
20210702	300064  300178  300202
20210701	300178
20210630	2618  300178  300269
20210629	600539     980    2280    2618
20210628	600539  600684    2618    2640
20210625	600601    2618    2640    2711
20210624	600601    2321    2711
20210623	2435  2711
20210622	603196    2711
20210621	2435  2711
20210618	615
20210617	760
20210616	760
20210615	
20210611	2762  300313
20210610	300313
20210609	300313
20210608	525     616    2735  300313
20210607	525  980
20210604	600896     525     820     980
20210603	600896     820     966     980
20210602	835  980
20210601	603778     835     966     980
20210531	
20210528	
20210527	600744
20210526	600744
20210525	600744
20210524	
20210521	603518
